Cno	Cname	no	Cca	Chour	Ccredit	Cteacher	Cteacher_2	Cweek	Cday	Ctime	Cweek_2	Cday_2	Ctime_2
99J0043	流言传播：社会、公众与传媒	1	50	32	2	蔡静		4-13周	4	第9-11节	第14周	4	第9-10节
99J0068	大学生信息素养——数字资源的检索与利用	1	60	16	1	张秀坤	南玉霞	4-7周	3	第9-11节	8-9周	3	第9-10节
99J0069	名记者的新闻实践与理论	1	80	32	2	龙小农		4-13周	4	第9-11节	第14周	4	第9-10节
99J0070	互联网前沿产品概论	1	100	32	2	黄建		4-13周	3	第9-11节	第14周	3	第9-10节
99J0082	组织传播：同化、公关与危机应对	1	50	32	2	罗雪		4-13周	5	第9-11节	第14周	5	第9-10节
99J0083	传播与政治：案例分析	1	50	32	2	涂凌波		4-13周	1	第9-11节	第14周	1	第9-10节
99J0086	视听艺术传播	1	60	32	2	李飞雪		4-13周	3	第9-11节	第14周	3	第9-10节
99J0090	主持人批评	1	130	16	1	龚伟亮		4-7周	1	第9-11节	8-9周	1	第9-10节
99J0095	全球模式类节目创作与赏析	1	50	32	2	邹欣		4-13周	4	第9-11节	第14周	4	第9-10节
99J0097	媒介素养专题研究	1	100	32	2	夏丽丽		4-13周	1	第9-11节	第14周	1	第9-10节
99J0098	媒介化生存与主持传播	1	60	16	1	贺敬杰		4-11周	3	第9-10节			
99J0099	广告学概论	1	100	16	1	初广志		9-12周	1	第9-11节	13-14周	1	第9-10节
99J0100	大众传播伦理	1	70	32	2	郭晓歌		4-13周	5	第9-11节	第14周	5	第9-10节
99L0004	日语	1	50	32	2	王玉霞		4-13周	3	第9-11节	第14周	3	第9-10节
99L0004	日语	2	50	32	2	王文勋		4-13周	3	第9-11节	第14周	3	第9-10节
99L0032	影视英语	1	55	32	2	蒋佳惠	陈煜	4-13周	2	第9-11节	第14周	2	第9-10节
99L0037	影视意大利语	1	50	32	2	付卓		4-13周	2	第9-11节	第14周	2	第9-10节
99L0038	英语节目主持	1	42	32	2	林海春		4-13周	3	第9-11节	第14周	3	第9-10节
99NA0001	文艺美学	1	90	17	1	杜莹杰		4-8周	1	第9-11节	第9周	1	第9-10节
